,Geo_NAME,Total Population,Population Density (Per Sq. Mile),Area (Land),15 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Median Gross Rent,White Alone (Number of people),Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino,Hispanic or Latino,Renter-Occupied Housing Units,Number of units Less than $300 (monthly),$300 to $499,$500 to $799,$800 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or More",No Cash Rent,Total,No Health Insurance Coverage,With Health Insurance Coverage,Public Health Coverage,Private Health Insurance,GEOID,TRACTCE,COUNTYFP,NAME,NAMELSAD,INTPTLAT,INTPTLON
0,"Census Tract 4001, Alameda County, California",3018,1133.768,2.66191966912588,0,8,52,18,15,8,18,9,0,3202.0,2193,92,0,499,0,102,132,2935,83,128,0,0,9,18,0,8,8,0,85,0,3018,110,2908,778,2665,6001400100,400100,1,4001.0,Census Tract 4001,37.867627500000005,-122.231946
1,"Census Tract 4002, Alameda County, California",1960,8641.376,0.22681572269832898,3,119,87,29,7,10,16,11,0,1770.0,1574,11,4,171,0,20,180,1749,211,282,0,0,6,13,74,89,50,18,32,0,1960,73,1887,482,1734,6001400200,400200,1,4002.0,Census Tract 4002,37.8481386,-122.24959679999999
2,"Census Tract 4003, Alameda County, California",5236,12268.92,0.4267695448782,28,413,236,189,239,28,38,132,0,1208.0,3617,606,9,599,36,81,288,4850,386,1303,112,79,85,205,382,203,67,35,70,65,5236,160,5076,854,4574,6001400300,400300,1,4003.0,Census Tract 4003,37.840598299999996,-122.2544365
3,"Census Tract 4004, Alameda County, California",4171,15114.6,0.27595842142897997,0,533,247,115,96,18,72,9,0,1584.0,2946,411,25,458,0,31,300,3905,266,1090,0,12,27,72,377,317,108,114,55,8,4165,173,3992,768,3642,6001400400,400400,1,4004.0,Census Tract 4004,37.8482803,-122.25745330000001
4,"Census Tract 4005, Alameda County, California",3748,16444.45,0.227918816612278,84,428,210,123,86,57,46,0,0,1438.0,2323,944,0,140,24,85,232,3262,486,1034,0,7,61,87,410,293,138,17,14,7,3748,397,3351,722,2923,6001400500,400500,1,4005.0,Census Tract 4005,37.8485412,-122.2647277
5,"Census Tract 4006, Alameda County, California",1661,14443.12,0.115002849434051,30,94,118,90,10,7,25,20,0,1221.0,688,596,5,142,0,73,157,1503,158,394,0,10,35,34,161,95,16,6,11,26,1661,151,1510,445,1178,6001400600,400600,1,4006.0,Census Tract 4006,37.8419909,-122.2648882
6,"Census Tract 4007, Alameda County, California",4552,13392.71,0.339886516848727,47,277,190,193,121,81,109,93,32,1197.0,2110,1691,91,119,0,222,319,3800,752,1143,19,41,253,108,335,232,98,22,17,18,4552,692,3860,1495,2768,6001400700,400700,1,4007.0,Census Tract 4007,37.8417667,-122.27235290000002
7,"Census Tract 4008, Alameda County, California",3506,13009.72,0.269490823895709,61,197,182,253,20,27,151,94,23,1329.0,1551,1106,7,436,0,174,232,3085,421,1008,23,111,99,50,403,131,114,18,46,13,3500,362,3138,1214,2254,6001400800,400800,1,4008.0,Census Tract 4008,37.8454675,-122.28339440000002
8,"Census Tract 4009, Alameda County, California",2262,13919.87,0.162501525103591,17,180,162,168,16,55,78,30,14,1457.0,1011,742,10,188,0,196,115,1998,264,720,0,19,59,95,202,164,106,60,0,15,2262,146,2116,638,1619,6001400900,400900,1,4009.0,Census Tract 4009,37.8394912,-122.2802646
9,"Census Tract 4010, Alameda County, California",6193,13983.53,0.44287811372098995,188,312,491,375,180,128,76,45,31,1191.0,2333,2179,9,194,85,503,890,4813,1380,1826,0,51,198,292,579,366,225,61,10,44,6184,574,5610,1942,4032,6001401000,401000,1,4010.0,Census Tract 4010,37.8312255,-122.27190139999999
10,"Census Tract 4011, Alameda County, California",4138,12133.7,0.34103362641062396,88,542,413,125,101,113,88,16,14,1324.0,2391,704,0,622,0,92,329,3683,455,1500,16,0,87,152,698,346,103,13,48,37,4138,486,3652,779,3129,6001401100,401100,1,4011.0,Census Tract 4011,37.830503799999995,-122.26385819999999
11,"Census Tract 4012, Alameda County, California",2614,10167.4,0.257096171874155,32,307,185,120,27,47,40,36,0,1371.0,1648,373,19,186,0,142,246,2176,438,794,42,0,45,146,251,137,119,29,17,8,2584,111,2473,540,2118,6001401200,401200,1,4012.0,Census Tract 4012,37.830613899999996,-122.2579003
12,"Census Tract 4013, Alameda County, California",3976,11995.69,0.33145250093822803,48,466,348,152,63,102,210,78,9,972.0,1470,1300,37,709,0,188,272,3470,506,1476,145,87,281,234,378,180,110,16,0,45,3683,886,2797,1199,1789,6001401300,401300,1,4013.0,Census Tract 4013,37.8181162,-122.26669779999999
13,"Census Tract 4014, Alameda County, California",4108,14032.04,0.292758499267178,55,284,410,150,173,65,49,113,18,982.0,1341,1620,100,369,27,436,215,2963,1145,1317,167,87,163,255,388,184,56,0,0,17,4108,709,3399,2108,1458,6001401400,401400,1,4014.0,Census Tract 4014,37.820756,-122.2733874
