Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T157_001,SE_T236_001,SE_T236_002,SE_T236_003,SE_T236_004,SE_T236_005,SE_T236_006,SE_T236_007,SE_T236_008,SE_T236_009,SE_T236_010,SE_T236_011,SE_T145_001,SE_T145_002,SE_T145_003,SE_T145_004,SE_T145_005,SE_T201_001,SE_T201_002,SE_T201_003
"06001400100","14000US06001400100","Census Tract 4001, Alameda County, California","Census Tract 4001, Alameda County, California","ca","140","00","ACSSF","0002699",,,,,"06","001",,,,"400100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3018,1133.768,2.66191966912588,3018,204,65,84,34,153,195,398,433,734,419,213,86,3018,2193,92,0,499,0,102,132,3018,2935,2145,92,0,491,0,75,132,83,48,0,0,8,0,27,0,0.4708,128,0,0,9,18,0,8,8,0,85,0,3018,110,2908,778,2665,128,128,128
"06001400200","14000US06001400200","Census Tract 4002, Alameda County, California","Census Tract 4002, Alameda County, California","ca","140","00","ACSSF","0002700",,,,,"06","001",,,,"400200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,8641.376,0.226815722698329,1960,98,76,131,30,66,337,304,327,176,293,73,49,1960,1574,11,4,171,0,20,180,1960,1749,1426,11,4,165,0,5,138,211,148,0,0,6,0,15,42,0.3871,282,0,0,6,13,74,89,50,18,32,0,1960,73,1887,482,1734,282,282,282
"06001400300","14000US06001400300","Census Tract 4003, Alameda County, California","Census Tract 4003, Alameda County, California","ca","140","00","ACSSF","0002701",,,,,"06","001",,,,"400300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5236,12268.92,0.4267695448782,5236,368,283,216,55,190,979,1027,708,698,450,181,81,5236,3617,606,9,599,36,81,288,5236,4850,3346,606,9,599,36,0,254,386,271,0,0,0,0,81,34,0.5437,1303,112,79,85,205,382,203,67,35,70,65,5236,160,5076,854,4574,1303,1303,1303
"06001400400","14000US06001400400","Census Tract 4004, Alameda County, California","Census Tract 4004, Alameda County, California","ca","140","00","ACSSF","0002702",,,,,"06","001",,,,"400400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4171,15114.6,0.27595842142898,4171,274,234,91,56,213,1075,706,558,453,326,145,40,4171,2946,411,25,458,0,31,300,4171,3905,2758,410,13,458,0,0,266,266,188,1,12,0,0,31,34,0.4434,1090,0,12,27,72,377,317,108,114,55,8,4165,173,3992,768,3642,1090,1090,1090
"06001400500","14000US06001400500","Census Tract 4005, Alameda County, California","Census Tract 4005, Alameda County, California","ca","140","00","ACSSF","0002703",,,,,"06","001",,,,"400500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748,16444.45,0.227918816612278,3748,276,94,105,25,305,1171,742,378,307,238,72,35,3748,2323,944,0,140,24,85,232,3748,3262,1972,944,0,140,24,19,163,486,351,0,0,0,0,66,69,0.3714,1034,0,7,61,87,410,293,138,17,14,7,3748,397,3351,722,2923,1034,1027,1020
"06001400600","14000US06001400600","Census Tract 4006, Alameda County, California","Census Tract 4006, Alameda County, California","ca","140","00","ACSSF","0002704",,,,,"06","001",,,,"400600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,14443.12,0.115002849434051,1661,102,48,51,32,195,413,249,240,157,94,64,16,1661,688,596,5,142,0,73,157,1661,1503,636,584,5,116,0,19,143,158,52,12,0,26,0,54,14,0.4692,394,0,10,35,34,161,95,16,6,11,26,1661,151,1510,445,1178,394,394,394
"06001400700","14000US06001400700","Census Tract 4007, Alameda County, California","Census Tract 4007, Alameda County, California","ca","140","00","ACSSF","0002705",,,,,"06","001",,,,"400700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4552,13392.71,0.339886516848727,4552,198,140,240,163,344,1045,784,614,422,321,180,101,4552,2110,1691,91,119,0,222,319,4552,3800,1700,1691,75,119,0,0,215,752,410,0,16,0,0,222,104,0.4699,1143,19,41,253,108,335,232,98,22,17,18,4552,692,3860,1495,2768,1143,1143,1143
"06001400800","14000US06001400800","Census Tract 4008, Alameda County, California","Census Tract 4008, Alameda County, California","ca","140","00","ACSSF","0002706",,,,,"06","001",,,,"400800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,13009.72,0.269490823895709,3506,174,29,182,27,273,827,735,486,289,352,109,23,3506,1551,1106,7,436,0,174,232,3506,3085,1390,1093,7,436,0,0,159,421,161,13,0,0,0,174,73,0.4489,1008,23,111,99,50,403,131,114,18,46,13,3500,362,3138,1214,2254,1008,988,1008
"06001400900","14000US06001400900","Census Tract 4009, Alameda County, California","Census Tract 4009, Alameda County, California","ca","140","00","ACSSF","0002707",,,,,"06","001",,,,"400900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2262,13919.87,0.162501525103591,2262,112,134,102,62,140,453,433,375,228,156,47,20,2262,1011,742,10,188,0,196,115,2262,1998,899,734,10,188,0,63,104,264,112,8,0,0,0,133,11,0.4777,720,0,19,59,95,202,164,106,60,0,15,2262,146,2116,638,1619,720,720,720
"06001401000","14000US06001401000","Census Tract 4010, Alameda County, California","Census Tract 4010, Alameda County, California","ca","140","00","ACSSF","0002708",,,,,"06","001",,,,"401000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6193,13983.53,0.44287811372099,6193,202,308,240,70,909,1227,1321,829,605,269,88,125,6193,2333,2179,9,194,85,503,890,6193,4813,1914,2057,9,194,85,56,498,1380,419,122,0,0,0,447,392,0.4839,1826,0,51,198,292,579,366,225,61,10,44,6184,574,5610,1942,4032,1826,1826,1826
